date fips state cases deaths
2020-02-23 17 Illinois 2 0
2020-02-23 25 Massachusetts 1 0
2020-02-23 31 Nebraska 11 0
2020-02-23 48 Texas 4 0
2020-02-23 53 Washington 1 0
2020-02-23 55 Wisconsin 1 0
2020-02-24 04 Arizona 1 0
2020-02-24 06 California 11 0
2020-02-24 17 Illinois 2 0
2020-02-24 25 Massachusetts 1 0
2020-02-24 31 Nebraska 12 0
2020-02-24 48 Texas 10 0
2020-02-24 53 Washington 5 0
2020-02-24 55 Wisconsin 1 0
2020-02-25 04 Arizona 1 0
2020-02-25 06 California 11 0
2020-02-25 17 Illinois 2 0
2020-02-25 25 Massachusetts 1 0
2020-02-25 31 Nebraska 13 0
2020-02-25 48 Texas 10 0
2020-02-25 49 Utah 1 0
2020-02-25 53 Washington 5 0
2020-02-25 55 Wisconsin 1 0
2020-02-26 04 Arizona 1 0
2020-02-26 06 California 26 0
2020-02-26 17 Illinois 2 0
2020-02-26 25 Massachusetts 1 0
2020-02-26 31 Nebraska 13 0
2020-02-26 48 Texas 10 0
2020-02-26 49 Utah 1 0
2020-02-26 53 Washington 5 0
2020-02-26 55 Wisconsin 1 0
2020-02-27 04 Arizona 1 0
2020-02-27 06 California 26 0
2020-02-27 17 Illinois 2 0
2020-02-27 25 Massachusetts 1 0
2020-02-27 31 Nebraska 13 0
2020-02-27 48 Texas 10 0
2020-02-27 49 Utah 1 0
2020-02-27 53 Washington 5 0
2020-02-27 55 Wisconsin 1 0
2020-02-28 04 Arizona 1 0
2020-02-28 06 California 27 0
2020-02-28 17 Illinois 2 0
2020-02-28 25 Massachusetts 1 0
2020-02-28 31 Nebraska 13 0
2020-02-28 41 Oregon 1 0
2020-02-28 48 Texas 11 0
2020-02-28 49 Utah 1 0
2020-02-28 53 Washington 7 0
2020-02-28 55 Wisconsin 1 0
2020-02-29 04 Arizona 1 0
2020-02-29 06 California 28 0
2020-02-29 17 Illinois 3 0
2020-02-29 25 Massachusetts 1 0
